City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
256,mbanza-ngungu,CD,-5.25,14.87,1579645424.0,72.1,90.0,100.0,0.56
257,astoria,US,46.19,-123.83,1579645425.0,51.01,81.0,90.0,21.92
258,buraydah,SA,26.33,43.98,1579645419.0,50.0,66.0,0.0,10.29
259,kalmunai,LK,7.42,81.82,1579645427.0,81.09,80.0,10.0,18.68
260,port-gentil,GA,-0.72,8.78,1579645428.0,82.4,88.0,20.0,5.82
261,avarua,CK,-21.21,-159.78,1579645429.0,77.0,94.0,100.0,2.24
262,druskininkai,LT,54.02,23.97,1579645430.0,37.99,94.0,99.0,12.35
263,halifax,CA,44.65,-63.57,1579645330.0,12.99,72.0,20.0,3.36
264,acapulco,MX,16.86,-99.89,1579645432.0,86.0,70.0,20.0,9.17
265,jumla,NP,29.27,82.18,1579645433.0,21.27,87.0,40.0,4.76
266,santa rosa,PH,14.31,121.11,1579645435.0,75.2,69.0,20.0,5.82
267,tartagal,AR,-22.52,-63.8,1579645217.0,75.2,94.0,90.0,3.18
268,suining,CN,30.51,105.57,1579645437.0,47.01,71.0,0.0,2.84
269,duluth,US,46.78,-92.11,1579645438.0,21.99,57.0,40.0,14.99
270,benicarlo,ES,40.42,0.43,1579645439.0,45.0,97.0,100.0,11.01
271,trastenik,BG,43.52,24.47,1579645440.0,26.6,92.0,40.0,6.93
272,do gonbadan,IR,30.36,50.8,1579645441.0,42.8,75.0,40.0,6.13
273,sinnamary,GF,5.38,-52.95,1579645442.0,78.78,78.0,75.0,15.5
274,tomatlan,MX,19.93,-105.25,1579645443.0,92.48,26.0,20.0,5.61
275,beringovskiy,RU,63.05,179.32,1579645445.0,-9.87,99.0,8.0,11.86
277,sungaipenuh,ID,-2.08,101.38,1579645446.0,64.65,99.0,100.0,1.86
278,the pas,CA,53.83,-101.25,1579645447.0,24.8,73.0,1.0,9.17
279,longyearbyen,SJ,78.22,15.64,1579645448.0,6.8,55.0,20.0,16.11
280,bairnsdale,AU,-37.83,147.62,1579645449.0,73.99,67.0,0.0,1.99
281,lingao,CN,19.91,109.69,1579645450.0,68.94,85.0,0.0,8.32
282,vanimo,PG,-2.67,141.3,1579645451.0,81.73,80.0,100.0,18.23
283,pevek,RU,69.7,170.31,1579645453.0,-14.1,92.0,100.0,3.8
284,richards bay,ZA,-28.78,32.04,1579645454.0,74.93,65.0,100.0,9.48
285,eyl,SO,7.98,49.82,1579645455.0,76.53,82.0,54.0,25.72
286,karangampel,ID,-6.46,108.45,1579645456.0,78.96,85.0,100.0,4.56
288,agadez,NE,19.75,10.25,1579645457.0,62.83,19.0,0.0,6.8
289,te anau,NZ,-45.42,167.72,1579645458.0,55.8,86.0,82.0,1.68
290,ixtapa,MX,20.7,-105.2,1579645269.0,82.99,74.0,20.0,13.87
291,fairview,US,40.81,-74.0,1579645322.0,33.01,43.0,1.0,4.76
292,bethel,US,41.37,-73.41,1579645461.0,30.99,35.0,1.0,4.7
293,the valley,AI,18.22,-63.06,1579645463.0,78.8,69.0,20.0,9.17
294,yantal,RU,56.85,105.25,1579645464.0,-1.39,89.0,100.0,11.34
295,antalaha,MG,-14.9,50.28,1579645465.0,82.96,82.0,100.0,10.92
296,hammerfest,NO,70.66,23.68,1579645466.0,28.4,79.0,75.0,26.4
297,buchanan,LR,5.88,-10.05,1579645467.0,78.8,94.0,40.0,5.01
298,gol,NO,60.7,8.95,1579645468.0,36.0,82.0,37.0,7.0
299,saint anthony,US,45.02,-93.22,1579645469.0,19.99,62.0,1.0,12.75
300,dikson,RU,73.51,80.55,1579645470.0,-9.78,76.0,100.0,17.38
301,mulatupo,PA,8.95,-77.77,1579645471.0,82.49,70.0,51.0,6.13
302,iqaluit,CA,63.75,-68.51,1579645383.0,-23.01,67.0,75.0,14.99
304,samana,DO,19.21,-69.34,1579645474.0,80.6,83.0,75.0,4.7
